"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"Соколовское сельское поселение - сельское население","918","432","486","47.1","52.9"
"Шеинское сельское поселение - сельское население","870","421","449","48.4","51.6"
"Шляховское сельское поселение - сельское население","531","263","268","49.5","50.5"
"Яблоновское сельское поселение - сельское население","1,965","929","1,036","47.3","52.7"
"Красненский муниципальный район - сельское население","11,358","5,395","5,963","47.5","52.5"
"Большовское сельское поселение","420","204","216","48.6","51.4"
"Горкинское сельское поселение","862","405","457","47.0","53.0"
"Готовское сельское поселение","958","445","513","46.5","53.5"
"Камызинское сельское поселение","1,490","684","806","45.9","54.1"
"Красненское сельское поселение","2,234","1,051","1,183","47.0","53.0"
"Кругловское сельское поселение","865","404","461","46.7","53.3"
"Лесноуколовское сельское поселение","718","346","372","48.2","51.8"
"Новоуколовское сельское поселение","2,235","1,099","1,136","49.2","50.8"
"Расховецкое сельское поселение","748","371","377","49.6","50.4"
"Сетищенское сельское поселение","828","386","442","46.6","53.4"
"Красногвардейский муниципальный район","32,242","15,096","17,146","46.8","53.2"
"Городское население","7,114","3,250","3,864","45.7","54.3"
"Сельское население","25,128","11,846","13,282","47.1","52.9"
"Городское поселение Город Бирюч ","7,322","3,339","3,983","45.6","54.4"
"Городское население - г. Бирюч","7,114","3,250","3,864","45.7","54.3"
"Сельское население","208","89","119","42.8","57.2"
"Валуйчанское сельское поселение - сельское население","994","476","518","47.9","52.1"
"Верхнепокровское сельское поселение - сельское население","1,955","942","1,013","48.2","51.8"
"Верхососенское сельское поселение - сельское население","937","443","494","47.3","52.7"
"Веселовское сельское поселение - сельское население","3,225","1,542","1,683","47.8","52.2"
"Засосенское сельское поселение - сельское население","4,342","2,008","2,334","46.2","53.8"
"село Засосна","3,806","1,757","2,049","46.2","53.8"
"прочие сельские населенные пункты","536","251","285","46.8","53.2"
"Калиновское сельское поселение - сельское население","713","363","350","50.9","49.1"
"Коломыцевское сельское поселение - сельское население","1,148","556","592","48.4","51.6"
"Ливенское сельское поселение - сельское население","3,544","1,679","1,865","47.4","52.6"
"село Ливенка","3,487","1,647","1,840","47.2","52.8"
"прочие сельские населенные пункты","57","32","25","56.1","43.9"
"Марьевское сельское поселение - сельское население","546","257","289","47.1","52.9"
"Никитовское сельское поселение - сельское население","2,765","1,255","1,510","45.4","54.6"
"Новохуторное сельское поселение - сельское население","287","135","152","47.0","53.0"
"Палатовское сельское поселение - сельское население","980","451","529","46.0","54.0"
"Стрелецкое сельское поселение - сельское население","2,412","1,173","1,239","48.6","51.4"
"Утянское сельское поселение - сельское население","1,072","477","595","44.5","55.5"
"Краснояружский муниципальный район","14,151","6,829","7,322","48.3","51.7"
"Городское население","7,957","3,753","4,204","47.2","52.8"
"Сельское население","6,194","3,076","3,118","49.7","50.3"
"Городское поселение поселок Красная Яруга","7,957","3,753","4,204","47.2","52.8"
"Городское население - пгт Красная Яруга","7,957","3,753","4,204","47.2","52.8"
"Сельское население","-","-","-","-","-"
"Вязовское сельское поселение - сельское население","793","394","399","49.7","50.3"
"Графовское сельское поселение - сельское население","960","472","488","49.2","50.8"
"Илек-Пеньковское сельское поселение - сельское население","801","400","401","49.9","50.1"
"Колотиловское сельское поселение - сельское население","1,090","559","531","51.3","48.7"
"Репяховское сельское поселение - сельское население","868","413","455","47.6","52.4"
"Сергиевское сельское поселение - сельское население","972","493","479","50.7","49.3"
"Теребренское сельское поселение - сельское население","710","345","365","48.6","51.4"
"Прохоровский муниципальный район","27,106","12,845","14,261","47.4","52.6"
"Городское население","9,790","4,502","5,288","46.0","54.0"
"Сельское население","17,316","8,343","8,973","48.2","51.8"
"Городское поселение поселок Прохоровка","10,364","4,772","5,592","46.0","54.0"
"Городское население - пгт Прохоровка","9,790","4,502","5,288","46.0","54.0"
"Сельское население","574","270","304","47.0","53.0"
"Беленихинское сельское поселение - сельское население","1,806","871","935","48.2","51.8"
"Береговское сельское поселение - сельское население","1,820","868","952","47.7","52.3"
"Вязовское сельское поселение - сельское население","701","319","382","45.5","54.5"
"Журавское сельское поселение - сельское население","1,155","586","569","50.7","49.3"
"Коломыцевское сельское поселение - сельское население","768","351","417","45.7","54.3"
"Кривошеевское сельское поселение - сельское население","1,356","679","677","50.1","49.9"
"Лучковское сельское поселение - сельское население","593","297","296","50.1","49.9"
"Маломаяченское сельское поселение - сельское население","533","271","262","50.8","49.2"
"Петровское сельское поселение - сельское население","241","126","115","52.3","47.7"
"Плотавское сельское поселение - сельское население","631","298","333","47.2","52.8"
"Подолешенское сельское поселение - сельское население","1,109","527","582","47.5","52.5"
"Прелестненское сельское поселение - сельское население","1,153","534","619","46.3","53.7"
"Призначенское сельское поселение - сельское население","1,528","728","800","47.6","52.4"
"Радьковское сельское поселение - сельское население","1,198","587","611","49.0","51.0"
"Ржавецкое сельское поселение - сельское население","643","306","337","47.6","52.4"
"Холоднянское сельское поселение - сельское население","1,151","549","602","47.7","52.3"
"Шаховское сельское поселение - сельское население","356","176","180","49.4","50.6"
"Ракитянский муниципальный район","33,284","15,681","17,603","47.1","52.9"
"Городское население","19,088","8,880","10,208","46.5","53.5"
"Сельское население","14,196","6,801","7,395","47.9","52.1"
"Городское поселение поселок Пролетарский","9,384","4,339","5,045","46.2","53.8"
"Городское население - пгт Пролетарский","9,040","4,182","4,858","46.3","53.7"
"Сельское население","344","157","187","45.6","54.4"
"Городское поселение поселок Ракитное","11,429","5,387","6,042","47.1","52.9"
"Городское население - пгт Ракитное","10,048","4,698","5,350","46.8","53.2"
"Сельское население","1,381","689","692","49.9","50.1"
"Бобравское сельское поселение - сельское население","1,861","912","949","49.0","51.0"
"Введено-Готнянское сельское поселение - сельское население","451","203","248","45.0","55.0"
"Венгеровское сельское поселение - сельское население","1,797","836","961","46.5","53.5"
"Вышнепенское сельское поселение - сельское население","828","399","429","48.2","51.8"
"Дмитриевское сельское поселение - сельское население","1,456","716","740","49.2","50.8"
"Зинаидинское сельское поселение - сельское население","721","329","392","45.6","54.4"
"Илек-Кошарское сельское поселение - сельское население","1,549","750","799","48.4","51.6"
"Нижнепенское сельское поселение - сельское население","948","480","468","50.6","49.4"
"Солдатское сельское поселение - сельское население","1,148","542","606","47.2","52.8"
"Трефиловское сельское поселение - сельское население","853","401","452","47.0","53.0"
"Центральное сельское поселение - сельское население","859","387","472","45.1","54.9"
"Ровеньский муниципальный район","22,764","10,811","11,953","47.5","52.5"
"Городское население","10,939","5,143","5,796","47.0","53.0"
"Сельское население","11,825","5,668","6,157","47.9","52.1"
"Городское поселение поселок Ровеньки","11,501","5,419","6,082","47.1","52.9"
"Городское население - пгт Ровеньки","10,939","5,143","5,796","47.0","53.0"
"Сельское население","562","276","286","49.1","50.9"
"Айдарское сельское поселение - сельское население","1,536","749","787","48.8","51.2"
"Верхнесеребрянское сельское поселение - сельское население","1,103","534","569","48.4","51.6"
"Ладомировское сельское поселение - сельское население","1,121","537","584","47.9","52.1"
"Лознянское сельское поселение - сельское население","822","406","416","49.4","50.6"
"Лозовское сельское поселение - сельское население","397","195","202","49.1","50.9"
"Наголенское сельское поселение - сельское население","1,698","793","905","46.7","53.3"
"Нагорьевское сельское поселение - сельское население","1,405","652","753","46.4","53.6"
"Новоалександровское сельское поселение - сельское население","1,139","540","599","47.4","52.6"
"Ржевское сельское поселение - сельское население","624","294","330","47.1","52.9"
"Свистовское сельское поселение - сельское население","767","377","390","49.2","50.8"
"Харьковское сельское поселение - сельское население","651","315","336","48.4","51.6"
"Чернянский муниципальный район","29,726","13,923","15,803","46.8","53.2"
"Городское население","14,896","6,808","8,088","45.7","54.3"
"Сельское население","14,830","7,115","7,715","48.0","52.0"
"Городское поселение поселок Чернянка","15,067","6,896","8,171","45.8","54.2"
"Городское население - пгт Чернянка","14,896","6,808","8,088","45.7","54.3"
"Сельское население","171","88","83","51.5","48.5"
"Андреевское сельское поселение - сельское население","657","312","345","47.5","52.5"
"Большанское сельское поселение - сельское население","485","216","269","44.5","55.5"
"Волоконовское сельское поселение - сельское население","1,116","541","575","48.5","51.5"
"Волотовское сельское поселение - сельское население","766","353","413","46.1","53.9"
"Ездоченское сельское поселение - сельское население","2,197","1,047","1,150","47.7","52.3"
"Кочегуренское сельское поселение - сельское население","845","413","432","48.9","51.1"
"Лозновское сельское поселение - сельское население","510","252","258","49.4","50.6"
"Лубянское сельское поселение - сельское население","464","241","223","51.9","48.1"
"Малотроицкое сельское поселение - сельское население","1,017","490","527","48.2","51.8"
"Новореченское сельское поселение - сельское население","497","256","241","51.5","48.5"
"Огибнянское сельское поселение - сельское население","834","394","440","47.2","52.8"
"Ольшанское сельское поселение - сельское население","1,219","579","640","47.5","52.5"
"Орликовское сельское поселение - сельское население","1,090","535","555","49.1","50.9"
"Прилепенское сельское поселение - сельское население","1,027","489","538","47.6","52.4"
"Русскохаланское сельское поселение - сельское население","1,935","909","1,026","47.0","53.0"
"Брянская область","1,169,161","535,241","633,920","45.8","54.2"
"Городское население","812,316","364,166","448,150","44.8","55.2"
"Сельское население","356,845","171,075","185,770","47.9","52.1"
"Городской округ г. Брянск - городское население","395,574","174,742","220,832","44.2","55.8"
"г. Брянск","379,152","167,325","211,827","44.1","55.9"
"внутригородские районы","","","","",""
"Бежицкий район","136,649","60,206","76,443","44.1","55.9"
"Володарский район","63,524","28,113","35,411","44.3","55.7"
"Советский район","115,206","50,210","64,996","43.6","56.4"
"Фокинский район","63,773","28,796","34,977","45.2","54.8"
"поселок Белые Берега ","7,412","3,269","4,143","44.1","55.9"
"поселок Большое Полпино ","5,859","2,712","3,147","46.3","53.7"
"поселок Радица-Крыловка ","3,151","1,436","1,715","45.6","54.4"
"Городской округ г. Клинцы","70,385","33,215","37,170","47.2","52.8"
"Городское население - г. Клинцы","63,059","29,416","33,643","46.6","53.4"
"Сельское население","7,326","3,799","3,527","51.9","48.1"
"село Займище","5,026","2,698","2,328","53.7","46.3"
"прочие сельские населенные пункты","2,300","1,101","1,199","47.9","52.1"
"Городской округ г. Сельцо - городское население - г. Сельцо","15,906","7,028","8,878","44.2","55.8"
"Городской округ г. Фокино - городское население - г. Фокино","12,538","5,671","6,867","45.2","54.8"
"Новозыбковский городской округ ","49,379","22,232","27,147","45.0","55.0"
"Городское население - г. Новозыбков","38,680","17,208","21,472","44.5","55.5"
"Сельское население","10,699","5,024","5,675","47.0","53.0"
"Брасовский муниципальный район","17,779","8,688","9,091","48.9","51.1"
"Городское население","8,469","3,846","4,623","45.4","54.6"
"Сельское население","9,310","4,842","4,468","52.0","48.0"
"Локотское городское поселение","9,710","4,915","4,795","50.6","49.4"
"Городское население - поселок Локоть ","8,469","3,846","4,623","45.4","54.6"
"Сельское население","1,241","1,069","172","86.1","13.9"
"Брасовское сельское поселение - сельское население","1,241","572","669","46.1","53.9"
"Веребское сельское поселение - сельское население","389","190","199","48.8","51.2"
"Вороновологское сельское поселение - сельское население","1,078","508","570","47.1","52.9"
"Глодневское сельское поселение - сельское население","844","375","469","44.4","55.6"
"Добриковское сельское поселение - сельское население","559","269","290","48.1","51.9"
"Дубровское  сельское поселение  - сельское население","528","236","292","44.7","55.3"
"Крупецкое сельское поселение - сельское население","762","392","370","51.4","48.6"
"Погребское сельское поселение - сельское население","1,403","641","762","45.7","54.3"
"Сныткинское сельское поселение - сельское население","737","341","396","46.3","53.7"
"Столбовское сельское поселение - сельское население","528","249","279","47.2","52.8"
"Брянский муниципальный район - сельское население","71,266","33,927","37,339","47.6","52.4"
"Глинищевское сельское поселение","6,158","2,873","3,285","46.7","53.3"
"село Глинищево","4,348","1,988","2,360","45.7","54.3"
"прочие сельские населенные пункты","1,810","885","925","48.9","51.1"
"Добрунское сельское поселение","6,714","3,117","3,597","46.4","53.6"
"деревня Добрунь","4,957","2,250","2,707","45.4","54.6"
"прочие сельские населенные пункты","1,757","867","890","49.3","50.7"
"Домашовское сельское поселение","676","344","332","50.9","49.1"
"Журиничское сельское поселение","1,588","782","806","49.2","50.8"
"Мичуринское сельское поселение","5,666","2,731","2,935","48.2","51.8"
"поселок Мичуринский","4,525","2,138","2,387","47.2","52.8"
"прочие сельские населенные пункты","1,141","593","548","52.0","48.0"
"Нетьинское сельское поселение","4,615","2,257","2,358","48.9","51.1"
"Новодарковичское сельское поселение","4,781","2,362","2,419","49.4","50.6"
"Новосельское сельское поселение","1,792","855","937","47.7","52.3"
"Отрадненское сельское поселение","3,146","1,467","1,679","46.6","53.4"
"Пальцовское сельское поселение","629","278","351","44.2","55.8"
"Свенское сельское поселение","3,544","1,647","1,897","46.5","53.5"
"Снежское сельское поселение","13,304","6,271","7,033","47.1","52.9"
"поселок Путевка","8,985","4,143","4,842","46.1","53.9"
"прочие сельские населенные пункты","4,319","2,128","2,191","49.3","50.7"
"Стекляннорадицкое сельское поселение","5,363","2,547","2,816","47.5","52.5"
"железнодорожная станция Чернец","3,440","1,640","1,800","47.7","52.3"
"прочие сельские населенные пункты","1,923","907","1,016","47.2","52.8"
"Супоневское сельское поселение","11,879","5,715","6,164","48.1","51.9"
"село Супонево","9,450","4,556","4,894","48.2","51.8"
"прочие сельские населенные пункты","2,429","1,159","1,270","47.7","52.3"
"Чернетовское сельское поселение","1,411","681","730","48.3","51.7"
"Выгоничский муниципальный район","17,117","8,266","8,851","48.3","51.7"
"Городское население","4,658","2,146","2,512","46.1","53.9"
"Сельское население","12,459","6,120","6,339","49.1","50.9"
"Выгоничское городское поселение","6,627","3,100","3,527","46.8","53.2"
"Городское население - поселок Выгоничи ","4,658","2,146","2,512","46.1","53.9"
"Сельское население","1,969","954","1,015","48.5","51.5"
"Кокинское сельское поселение - сельское население","4,969","2,525","2,444","50.8","49.2"
"село Кокино","3,008","1,598","1,410","53.1","46.9"
"прочие сельские населенные пункты","1,961","927","1,034","47.3","52.7"
"Красносельское сельское поселение - сельское население","1,152","538","614","46.7","53.3"
"Орменское сельское поселение - сельское население","1,071","519","552","48.5","51.5"
"Сосновское сельское поселение - сельское население","885","429","456","48.5","51.5"
"Утынское сельское поселение - сельское население","802","384","418","47.9","52.1"
